kdjur,nmjur
11,MANAJEMEN
12,AKUNTANSI
21,TEKNIK SIPIL
22,ARSITEKTUR
23,DESAIN KOMUNIKASI VISUAL
24,DESAIN INTERIOR
25,DESAIN PRODUK
32,TEKNIK ELEKTRO
33,TEKNIK INDUSTRI
34,TEKNOLOGI PANGAN
41,ILMU KOMUNIKASI
43,HUBUNGAN INTERNASIONAL
51,ILMU HUKUM
61,SENI MUSIK
71,PENDIDIKAN DOKTER
81,SISTEM INFORMASI
82,TEKNIK INFORMATIKA
83,SISTEM KOMPUTER
101,PENDIDIKAN BAHASA INGGRIS
112,MATEMATIKA
113,BIOLOGI
121,PSIKOLOGI
307,PENDIDIKAN GURU SEKOLAH DASAR
314,PENDIDIKAN GURU SEKOLAH DASAR
401,PENDIDIKAN MATEMATIKA
404,PENDIDIKAN BIOLOGI
407,PENDIDIKAN EKONOMI
408,PENDIDIKAN MATEMATIKA
411,PENDIDIKAN BIOLOGI
501,ILMU KEPERAWATAN
502,ILMU KEPERAWATAN (CONV)
532,USAHA WISATA (D3)
541,MANAJEMEN PERHOTELAN (D4)
543,MANAJEMEN PERHOTELAN
